Roll_No,Internal_Theory,Internal_Lab,External_Theory,External_Lab,Backs,UFM,SGPA
1714313051,163,167,231,166,0,0,7.46
1714313051,159,180,244,177,0,0,7.71
1714313051,159,184,232,178,0,0,7.46
1714313051,171,189,295,180,0,0,8.46
1714313053,180,198,254,196,0,0,8.13
1714313053,178,197,290,183,0,0,8.46
1714313053,177,200,250,197,0,0,8.21
1714313053,180,194,330,194,0,0,9.17
1714313036,180,200,303,198,0,0,8.75
1714313036,180,200,315,198,0,0,8.88
1714313036,180,200,316,200,0,0,8.96
1714313036,180,200,348,200,0,0,9.17
1714313054,166,187,216,187,0,0,7.17
1714313054,163,185,259,177,0,0,7.96
1714313054,166,186,273,184,0,0,8.04
1714313054,173,195,308,186,0,0,8.71
1714313055,158,175,225,181,0,0,7.17
1714313055,148,171,229,168,0,0,7.42
1714313055,148,171,261,172,0,0,7.75
1714313055,167,175,291,177,0,0,8.58
1714313056,161,171,207,178,1,0,6.46
1714313056,159,168,226,166,0,0,7.29
1714313056,161,171,216,178,0,0,7.21
1714313056,161,184,217,180,0,0,7.29
1714313056,163,189,263,180,0,0,7.92
1714313058,143,164,264,173,0,0,7.58
1714313058,130,163,205,167,0,0,6.5
1714313058,146,177,252,178,0,0,7.5
1714313058,166,180,290,174,0,0,8.25
1714313059,158,152,230,158,0,0,7
1714313059,148,166,250,172,0,0,7.5
1714313059,143,167,235,174,0,0,7.08
1714313059,159,175,279,173,0,0,8.04
1714313060,156,153,222,166,0,0,6.96
1714313060,151,161,235,164,0,0,7.33
1714313060,156,175,237,177,0,0,7.58
1714313060,164,179,277,174,0,0,8.25
1714313061,180,200,270,198,0,0,8.33
1714313061,178,200,320,188,0,0,9.04
1714313061,180,200,322,200,0,0,9.17
1714313061,180,199,342,196,0,0,9.17
1714313062,140,154,208,169,0,0,6.67
1714313062,142,160,208,161,0,0,6.79
1714313062,142,180,239,178,0,0,7.42
1714313062,157,175,267,168,0,0,7.71
1714313063,169,176,236,183,0,0,7.38
1714313063,163,174,225,176,0,0,7.46
1714313063,154,178,270,172,0,0,7.92
1714313063,165,182,296,184,0,0,8.46
1714313065,114,145,182,169,0,0,5.88
1714313065,114,145,180,157,0,0,5.92
1714313065,114,168,206,172,0,0,6.29
1714313065,145,169,228,167,0,0,7.33
1714313066,113,145,178,155,0,0,5.67
1714313066,113,138,157,150,1,0,4.71
1714313066,112,146,170,159,0,0,5.46
1714313066,158,161,230,157,0,0,7.25
1714313067,156,152,162,166,1,0,5.83
1714313067,145,168,229,169,0,0,7.21
1714313067,156,152,182,166,0,0,6.58
1714313067,144,175,201,180,0,0,6.92
1714313067,166,175,261,173,0,0,8.17
1714313068,129,147,171,168,0,0,6.04
1714313068,141,163,224,161,0,0,6.83
1714313068,158,182,242,181,0,0,7.58
1714313068,174,183,260,172,0,0,8.21
1714313069,134,170,248,171,0,0,7.33
1714313069,117,147,243,159,0,0,6.79
1714313069,117,158,220,166,0,0,6.71
1714313069,152,161,274,164,0,0,7.71
1714313070,162,187,239,189,0,0,7.58
1714313070,160,185,275,180,0,0,8.08
1714313070,170,189,259,181,0,0,7.96
1714313070,173,194,314,186,0,0,9.04
1714313071,171,194,282,185,0,0,8.42
1714313071,170,194,280,191,0,0,8.21
1714313071,176,200,262,198,0,0,8.33
1714313071,179,199,323,192,0,0,9.17
1714313072,175,195,282,184,0,0,8.38
1714313072,171,195,221,187,0,0,7.67
1714313072,163,94,216,190,0,0,7.33
1714313072,163,188,295,184,0,0,8.42
1714313073,155,188,186,188,0,0,6.63
1714313073,176,171,212,172,0,0,7.04
1714313073,149,180,197,177,0,0,6.67
1714313073,164,186,265,180,0,0,8.04
1714313074,162,185,270,177,0,0,8.13
1714313074,168,183,260,180,0,0,8.04
1714313074,166,188,259,184,0,0,7.83
1714313074,175,194,309,182,0,0,8.83
1714313075,157,159,273,158,0,0,8.04
1714313075,161,177,233,175,0,0,7.46
1714313075,162,186,258,186,0,0,7.83
1714313075,172,190,295,181,0,0,8.71
1714313076,146,175,184,179,0,0,6.38
1714313076,143,166,206,198,0,0,6.71
1714313076,148,175,206,177,0,0,6.92
1714313076,171,182,264,176,0,0,8.13
1714313077,133,160,150,167,0,0,5.92
1714313077,133,162,120,167,2,0,4.13
1714313077,142,171,201,175,0,0,6.88
1714313077,166,182,236,171,0,0,7.46
1714313078,173,188,248,184,0,0,7.75
1714313078,172,192,199,184,0,0,8.75
1714313078,178,197,221,197,0,1,7.17
1714313078,180,196,312,194,0,0,9.17
1714313079,158,170,272,182,0,0,8.08
1714313079,155,181,237,178,0,0,7.46
1714313079,163,188,239,186,0,0,7.67
1714313079,167,187,292,185,0,0,8.54
1714313080,132,162,199,170,0,0,6.5
1714313080,117,148,174,158,0,0,5.63
1714313080,118,159,167,163,0,0,5.54
1714313080,164,168,241,167,0,0,7.5
1714313081,113,157,163,171,3,0,4.21
1714313081,113,138,161,149,2,0,4.13
1714313081,113,157,211,171,0,0,6.13
1714313081,118,158,185,165,0,0,6
1714313081,167,171,261,167,0,0,8
1714313082,117,149,182,157,0,0,5.58
1714313082,114,143,81,151,4,0,2.46
1714313082,116,162,129,167,2,0,3.83
1714313082,156,165,218,162,0,0,7.21
1714313083,153,163,231,172,0,0,7.5
1714313083,142,162,256,163,0,0,7.58
1714313083,148,167,249,173,0,0,7.46
1714313083,170,177,287,174,0,0,8.17
1714313084,149,173,242,172,0,0,7.5
1714313084,138,163,179,160,0,0,5.5
1714313084,143,172,226,168,0,0,6.92
1714313084,169,177,268,170,0,0,7.88
1714313085,148,175,245,181,0,0,7.54
1714313085,139,167,210,166,0,0,6.71
1714313085,147,172,229,168,0,0,7.21
1714313085,167,182,280,176,0,0,8.25
1714313086,175,193,337,194,0,0,9.17
1714313086,176,200,322,190,0,0,8.88
1714313086,180,199,296,198,0,0,8.75
1714313086,180,199,354,196,0,0,9.17
1714313087,154,169,236,172,0,0,7.17
1714313087,164,179,266,185,0,0,8.08
1714313087,162,196,256,189,0,0,8.04
1714313087,173,193,284,186,0,0,8.33
1714313088,151,170,219,181,0,0,7.25
1714313088,154,185,264,180,0,0,7.75
1714313088,163,187,251,182,0,0,7.88
1714313088,175,193,297,186,0,0,8.71
1714313089,166,184,246,185,0,0,7.67
1714313089,163,184,244,191,0,0,7.88
1714313089,165,180,236,173,0,0,7.54
1714313089,172,186,295,184,0,0,8.64
1714313090,156,173,274,183,0,0,7.88
1714313090,156,181,270,184,0,0,7.92
